,district,county,region,ipc,year_month,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,count_violence,sum_fatalities,food_price_idx,area,cropland_pct,pop,ruggedness_mean,pasture_pct,prev_ipc,2prev_ipc,next_ipc
4,Bor,Bor South,Jonglei,1.0,2009-11-01,0.4723715,85.85184,2.31489,-4.467705,7.499793,-5.23468,1,11,1.197838,14008.33,7.961984,256618.0,11393.76,90.8503,2.0,2.0,1.0
5,Bor,Bor South,Jonglei,1.0,2009-12-01,0.3093003,74.7849,0.9304437,0.1487039,2.397086,-1.17448,3,22,1.205884,14008.33,7.961984,256618.0,11393.76,90.8503,2.0,2.0,1.0
6,Bor,Bor South,Jonglei,1.0,2010-01-01,0.2535015,83.79816,0.2931342,-0.06891564,0.1679761,-0.4543933,0,0,1.238529,14008.33,7.961984,265263.0,11393.76,90.8503,2.0,2.0,2.0
7,Bor,Bor South,Jonglei,1.0,2010-02-01,0.220465,85.87476,1.40663,0.5214898,0.5844359,-0.002675717,0,0,1.262956,14008.33,7.961984,265263.0,11393.76,90.8503,1.0,2.0,2.0
8,Bor,Bor South,Jonglei,1.0,2010-03-01,0.2185806,86.8513,3.486286,-0.6958632,0.7098744,-0.8838806,0,0,1.293821,14008.33,7.961984,265263.0,11393.76,90.8503,1.0,2.0,2.0
9,Bor,Bor South,Jonglei,2.0,2010-04-01,0.2275614,76.68565,7.614567,-5.549418,1.413454,-4.22291,0,0,1.292882,14008.33,7.961984,265263.0,11393.76,90.8503,1.0,2.0,2.0
10,Bor,Bor South,Jonglei,2.0,2010-05-01,0.3382095,79.44981,23.36373,4.377874,10.13869,-1.150318,1,1,1.262869,14008.33,7.961984,265263.0,11393.76,90.8503,2.0,1.0,2.0
11,Bor,Bor South,Jonglei,2.0,2010-06-01,0.5078212,91.14177,16.84291,-2.09755,15.03172,-2.001075,4,17,1.250079,14008.33,7.961984,265263.0,11393.76,90.8503,2.0,1.0,2.0
12,Bor,Bor South,Jonglei,2.0,2010-07-01,0.5923244,95.05682,32.51312,9.128263,19.93449,-1.655068,0,0,1.251864,14008.33,7.961984,265263.0,11393.76,90.8503,2.0,1.0,2.0
13,Bor,Bor South,Jonglei,2.0,2010-08-01,0.6313306,98.86874,26.72625,2.752095,21.86967,-0.9081779,0,0,1.254549,14008.33,7.961984,265263.0,11393.76,90.8503,2.0,2.0,2.0
